Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule,category_code
Cincin-cat.11042921.11042922,0:00,1:00,2:15,7:15,shp-ext-cincin,0 0 * * *,shp-tfm-cincin,0 1 * * *,shp-ext-cincin-itm,15 2 * * *,shp-tfm-cincin-itm,15 7 * * *,11042922
Anting-cat.11042921.11042923,0:00,1:00,2:45,7:45,shp-ext-anting,0 0 * * *,shp-tfm-anting,0 1 * * *,shp-ext-anting-itm,45 2 * * *,shp-tfm-anting-itm,45 7 * * *,11042923
Syal-Selendang-cat.11042921.11042924,0:00,1:00,3:15,8:15,shp-ext-syal-selendang,0 0 * * *,shp-tfm-syal-selendang,0 1 * * *,shp-ext-syal-selendang-itm,15 3 * * *,shp-tfm-syal-selendang-itm,15 8 * * *,11042924
Sarung-Tangan-cat.11042921.11042925,0:00,1:00,3:45,8:45,shp-ext-sarung-tangan,0 0 * * *,shp-tfm-sarung-tangan,0 1 * * *,shp-ext-sarung-tangan-itm,45 3 * * *,shp-tfm-sarung-tangan-itm,45 8 * * *,11042925
Aksesoris-Rambut-cat.11042921.11042930,0:00,1:00,4:15,9:15,shp-ext-aksesoris-rambut,0 0 * * *,shp-tfm-aksesoris-rambut,0 1 * * *,shp-ext-aksesoris-rambut-itm,15 4 * * *,shp-tfm-aksesoris-rambut-itm,15 9 * * *,11042930
Gelang-Tangan-Bangle-cat.11042921.11042937,0:15,1:15,4:45,9:45,shp-ext-gelang-tangan-bangle,15 0 * * *,shp-tfm-gelang-tangan-bangle,15 1 * * *,shp-ext-gelang-tangan-bangle-itm,45 4 * * *,shp-tfm-gelang-tangan-bangle-itm,45 9 * * *,11042937
Gelang-Kaki-cat.11042921.11042938,0:15,1:15,5:15,10:15,shp-ext-gelang-kaki,15 0 * * *,shp-tfm-gelang-kaki,15 1 * * *,shp-ext-gelang-kaki-itm,15 5 * * *,shp-tfm-gelang-kaki-itm,15 10 * * *,11042938
Topi-cat.11042921.11042939,0:15,1:15,5:45,10:45,shp-ext-topi,15 0 * * *,shp-tfm-topi,15 1 * * *,shp-ext-topi-itm,45 5 * * *,shp-tfm-topi-itm,45 10 * * *,11042939
Kalung-cat.11042921.11042947,0:15,1:15,6:15,11:15,shp-ext-kalung,15 0 * * *,shp-tfm-kalung,15 1 * * *,shp-ext-kalung-itm,15 6 * * *,shp-tfm-kalung-itm,15 11 * * *,11042947
Kacamata-Aksesoris-cat.11042921.11042952,0:15,1:15,6:45,11:45,shp-ext-kacamata-aksesoris,15 0 * * *,shp-tfm-kacamata-aksesoris,15 1 * * *,shp-ext-kacamata-aksesoris-itm,45 6 * * *,shp-tfm-kacamata-aksesoris-itm,45 11 * * *,11042952
Lensa-Kontak-Aksesoris-cat.11042921.11053196,0:30,1:30,7:15,12:15,shp-ext-lensa-kontak-aksesoris,30 0 * * *,shp-tfm-lensa-kontak-aksesoris,30 1 * * *,shp-ext-lensa-kontak-aksesoris-itm,15 7 * * *,shp-tfm-lensa-kontak-aksesoris-itm,15 12 * * *,11053196
Logam-Mulia-cat.11042921.11042957,0:30,1:30,7:45,12:45,shp-ext-logam-mulia,30 0 * * *,shp-tfm-logam-mulia,30 1 * * *,shp-ext-logam-mulia-itm,45 7 * * *,shp-tfm-logam-mulia-itm,45 12 * * *,11042957
Ikat-Pinggang-cat.11042921.11042963,0:30,1:30,8:15,13:15,shp-ext-ikat-pinggang,30 0 * * *,shp-tfm-ikat-pinggang,30 1 * * *,shp-ext-ikat-pinggang-itm,15 8 * * *,shp-tfm-ikat-pinggang-itm,15 13 * * *,11042963
Dasi-cat.11042921.11042967,0:30,1:30,8:45,13:45,shp-ext-dasi,30 0 * * *,shp-tfm-dasi,30 1 * * *,shp-ext-dasi-itm,45 8 * * *,shp-tfm-dasi-itm,45 13 * * *,11042967
Aksesoris-Tambahan-cat.11042921.11042968,0:30,1:30,9:15,14:15,shp-ext-aksesoris-tambahan,30 0 * * *,shp-tfm-aksesoris-tambahan,30 1 * * *,shp-ext-aksesoris-tambahan-itm,15 9 * * *,shp-tfm-aksesoris-tambahan-itm,15 14 * * *,11042968
Set-Paket-Aksesoris-cat.11042921.11042976,0:45,1:45,9:45,14:45,shp-ext-set-paket-aksesoris,45 0 * * *,shp-tfm-set-paket-aksesoris,45 1 * * *,shp-ext-set-paket-aksesoris-itm,45 9 * * *,shp-tfm-set-paket-aksesoris-itm,45 14 * * *,11042976
Perhiasan-Berharga-cat.11042921.11042978,0:45,1:45,10:15,15:15,shp-ext-perhiasan-berharga,45 0 * * *,shp-tfm-perhiasan-berharga,45 1 * * *,shp-ext-perhiasan-berharga-itm,15 10 * * *,shp-tfm-perhiasan-berharga-itm,15 15 * * *,11042978
Alat-Tulis-cat.11044123.11044124,0:45,1:45,10:45,15:45,shp-ext-alat-tulis,45 0 * * *,shp-tfm-alat-tulis,45 1 * * *,shp-ext-alat-tulis-itm,45 10 * * *,shp-tfm-alat-tulis-itm,45 15 * * *,11044124
Perlengkapan-Sekolah-Kantor-cat.11044123.11044131,0:45,1:45,11:15,16:15,shp-ext-perlengkapan-sekolah-kantor,45 0 * * *,shp-tfm-perlengkapan-sekolah-kantor,45 1 * * *,shp-ext-perlengkapan-sekolah-kantor-itm,15 11 * * *,shp-tfm-perlengkapan-sekolah-kantor-itm,15 16 * * *,11044131
Folder-Organizer-Kertas-Aksesoris-cat.11044123.11044149,0:45,1:45,11:45,16:45,shp-ext-folder-organizer-kertas-aksesoris,45 0 * * *,shp-tfm-folder-organizer-kertas-aksesoris,45 1 * * *,shp-ext-folder-organizer-kertas-aksesoris-itm,45 11 * * *,shp-tfm-folder-organizer-kertas-aksesoris-itm,45 16 * * *,11044149
Perlengkapan-Menggambar-cat.11044123.11044155,1:00,2:00,12:15,17:15,shp-ext-perlengkapan-menggambar,0 1 * * *,shp-tfm-perlengkapan-menggambar,0 2 * * *,shp-ext-perlengkapan-menggambar-itm,15 12 * * *,shp-tfm-perlengkapan-menggambar-itm,15 17 * * *,11044155
Buku-Tulis-Kertas-cat.11044123.11044166,1:00,2:00,12:45,17:45,shp-ext-buku-tulis-kertas,0 1 * * *,shp-tfm-buku-tulis-kertas,0 2 * * *,shp-ext-buku-tulis-kertas-itm,45 12 * * *,shp-tfm-buku-tulis-kertas-itm,45 17 * * *,11044166
Surat-Menyurat-cat.11044123.11044177,1:00,2:00,13:15,18:15,shp-ext-surat-menyurat,0 1 * * *,shp-tfm-surat-menyurat,0 2 * * *,shp-ext-surat-menyurat-itm,15 13 * * *,shp-tfm-surat-menyurat-itm,15 18 * * *,11044177
Bubble-Wrap-cat.11044123.11044182,1:00,2:00,13:45,18:45,shp-ext-bubble-wrap,0 1 * * *,shp-tfm-bubble-wrap,0 2 * * *,shp-ext-bubble-wrap-itm,45 13 * * *,shp-tfm-bubble-wrap-itm,45 18 * * *,11044182
Majalah-Koran-cat.11044123.11044183,1:00,2:00,14:15,19:15,shp-ext-majalah-koran,0 1 * * *,shp-tfm-majalah-koran,0 2 * * *,shp-ext-majalah-koran-itm,15 14 * * *,shp-tfm-majalah-koran-itm,15 19 * * *,11044183
Buku-Anak-Anak-cat.11044123.11044188,1:15,2:15,14:45,19:45,shp-ext-buku-anak-anak,15 1 * * *,shp-tfm-buku-anak-anak,15 2 * * *,shp-ext-buku-anak-anak-itm,45 14 * * *,shp-tfm-buku-anak-anak-itm,45 19 * * *,11044188
Buku-Edukasi-cat.11044123.11044191,1:15,2:15,15:15,20:15,shp-ext-buku-edukasi,15 1 * * *,shp-tfm-buku-edukasi,15 2 * * *,shp-ext-buku-edukasi-itm,15 15 * * *,shp-tfm-buku-edukasi-itm,15 20 * * *,11044191
Buku-Non-Fiksi-cat.11044123.11044197,1:15,2:15,15:45,20:45,shp-ext-buku-non-fiksi,15 1 * * *,shp-tfm-buku-non-fiksi,15 2 * * *,shp-ext-buku-non-fiksi-itm,45 15 * * *,shp-tfm-buku-non-fiksi-itm,45 20 * * *,11044197
Buku-Fiksi-cat.11044123.11044213,1:15,2:15,16:15,21:15,shp-ext-buku-fiksi,15 1 * * *,shp-tfm-buku-fiksi,15 2 * * *,shp-ext-buku-fiksi-itm,15 16 * * *,shp-tfm-buku-fiksi-itm,15 21 * * *,11044213
Komik-Manga-cat.11044123.11044218,1:15,2:15,16:45,21:45,shp-ext-komik-manga,15 1 * * *,shp-tfm-komik-manga,15 2 * * *,shp-ext-komik-manga-itm,45 16 * * *,shp-tfm-komik-manga-itm,45 21 * * *,11044218
E-Book-cat.11044123.11044223,1:30,2:30,17:15,22:15,shp-ext-e-book,30 1 * * *,shp-tfm-e-book,30 2 * * *,shp-ext-e-book-itm,15 17 * * *,shp-tfm-e-book-itm,15 22 * * *,11044223
Konsol-Game-cat.11044258.11044352,1:30,2:30,17:45,22:45,shp-ext-konsol-game,30 1 * * *,shp-tfm-konsol-game,30 2 * * *,shp-ext-konsol-game-itm,45 17 * * *,shp-tfm-konsol-game-itm,45 22 * * *,11044352
Aksesoris-Konsol-cat.11044258.11044362,1:30,2:30,18:15,23:15,shp-ext-aksesoris-konsol,30 1 * * *,shp-tfm-aksesoris-konsol,30 2 * * *,shp-ext-aksesoris-konsol-itm,15 18 * * *,shp-tfm-aksesoris-konsol-itm,15 23 * * *,11044362
Alat-Casting-cat.11044258.11044363,1:30,2:30,18:45,23:45,shp-ext-alat-casting,30 1 * * *,shp-tfm-alat-casting,30 2 * * *,shp-ext-alat-casting-itm,45 18 * * *,shp-tfm-alat-casting-itm,45 23 * * *,11044363
Foot-Bath-Spa-cat.11044258.11044259,1:30,2:30,19:15,0:15,shp-ext-foot-bath-spa,30 1 * * *,shp-tfm-foot-bath-spa,30 2 * * *,shp-ext-foot-bath-spa-itm,15 19 * * *,shp-tfm-foot-bath-spa-itm,15 0 * * *,11044259
Mesin-Jahit-Aksesoris-cat.11044258.11044260,1:45,2:45,19:45,0:45,shp-ext-mesin-jahit-aksesoris,45 1 * * *,shp-tfm-mesin-jahit-aksesoris,45 2 * * *,shp-ext-mesin-jahit-aksesoris-itm,45 19 * * *,shp-tfm-mesin-jahit-aksesoris-itm,45 0 * * *,11044260
Setrika-Mesin-Uap-cat.11044258.11044261,1:45,2:45,20:15,1:15,shp-ext-setrika-mesin-uap,45 1 * * *,shp-tfm-setrika-mesin-uap,45 2 * * *,shp-ext-setrika-mesin-uap-itm,15 20 * * *,shp-tfm-setrika-mesin-uap-itm,15 1 * * *,11044261
Purifier-Humidifier-cat.11044258.11044262,1:45,2:45,20:45,1:45,shp-ext-purifier-humidifier,45 1 * * *,shp-tfm-purifier-humidifier,45 2 * * *,shp-ext-purifier-humidifier-itm,45 20 * * *,shp-tfm-purifier-humidifier-itm,45 1 * * *,11044262
Penyedot-Debu-Peralatan-Perawatan-Lantai-cat.11044258.11044266,1:45,2:45,21:15,2:15,shp-ext-penyedot-debu-peralatan-perawatan-lantai,45 1 * * *,shp-tfm-penyedot-debu-peralatan-perawatan-lantai,45 2 * * *,shp-ext-penyedot-debu-peralatan-perawatan-lantai-itm,15 21 * * *,shp-tfm-penyedot-debu-peralatan-perawatan-lantai-itm,15 2 * * *,11044266
Telepon-cat.11044258.11044271,1:45,2:45,21:45,2:45,shp-ext-telepon,45 1 * * *,shp-tfm-telepon,45 2 * * *,shp-ext-telepon-itm,45 21 * * *,shp-tfm-telepon-itm,45 2 * * *,11044271
Mesin-Cuci-Pengering-cat.11044258.11044276,2:00,3:00,22:15,3:15,shp-ext-mesin-cuci-pengering,0 2 * * *,shp-tfm-mesin-cuci-pengering,0 3 * * *,shp-ext-mesin-cuci-pengering-itm,15 22 * * *,shp-tfm-mesin-cuci-pengering-itm,15 3 * * *,11044276
Water-Heater-cat.11044258.11044280,2:00,3:00,22:45,3:45,shp-ext-water-heater,0 2 * * *,shp-tfm-water-heater,0 3 * * *,shp-ext-water-heater-itm,45 22 * * *,shp-tfm-water-heater-itm,45 3 * * *,11044280
Pendingin-Ruangan-cat.11044258.11044281,2:00,3:00,23:15,4:15,shp-ext-pendingin-ruangan,0 2 * * *,shp-tfm-pendingin-ruangan,0 3 * * *,shp-ext-pendingin-ruangan-itm,15 23 * * *,shp-tfm-pendingin-ruangan-itm,15 4 * * *,11044281
Pengering-Sepatu-cat.11044258.11044286,2:00,3:00,23:45,4:45,shp-ext-pengering-sepatu,0 2 * * *,shp-tfm-pengering-sepatu,0 3 * * *,shp-ext-pengering-sepatu-itm,45 23 * * *,shp-tfm-pengering-sepatu-itm,45 4 * * *,11044286
Penghangat-Ruangan-cat.11044258.11044287,2:00,3:00,0:15,5:15,shp-ext-penghangat-ruangan,0 2 * * *,shp-tfm-penghangat-ruangan,0 3 * * *,shp-ext-penghangat-ruangan-itm,15 0 * * *,shp-tfm-penghangat-ruangan-itm,15 5 * * *,11044287
TV-Aksesoris-cat.11044258.11044288,2:15,3:15,0:45,5:45,shp-ext-tv-aksesoris,15 2 * * *,shp-tfm-tv-aksesoris,15 3 * * *,shp-ext-tv-aksesoris-itm,45 0 * * *,shp-tfm-tv-aksesoris-itm,45 5 * * *,11044288
Perangkat-Dapur-cat.11044258.11044294,2:15,3:15,1:15,6:15,shp-ext-perangkat-dapur,15 2 * * *,shp-tfm-perangkat-dapur,15 3 * * *,shp-ext-perangkat-dapur-itm,15 1 * * *,shp-tfm-perangkat-dapur-itm,15 6 * * *,11044294
Lampu-cat.11044258.11044550,2:15,3:15,1:45,6:45,shp-ext-lampu,15 2 * * *,shp-tfm-lampu,15 3 * * *,shp-ext-lampu-itm,45 1 * * *,shp-tfm-lampu-itm,45 6 * * *,11044550
Kamera-Keamanan-cat.11044258.11044567,2:15,3:15,2:15,7:15,shp-ext-kamera-keamanan,15 2 * * *,shp-tfm-kamera-keamanan,15 3 * * *,shp-ext-kamera-keamanan-itm,15 2 * * *,shp-tfm-kamera-keamanan-itm,15 7 * * *,11044567
Video-Game-cat.11044258.11044573,2:15,3:15,2:45,7:45,shp-ext-video-game,15 2 * * *,shp-tfm-video-game,15 3 * * *,shp-ext-video-game-itm,45 2 * * *,shp-tfm-video-game-itm,45 7 * * *,11044573
Kelistrikan-cat.11044258.11044319,2:30,3:30,3:15,8:15,shp-ext-kelistrikan,30 2 * * *,shp-tfm-kelistrikan,30 3 * * *,shp-ext-kelistrikan-itm,15 3 * * *,shp-tfm-kelistrikan-itm,15 8 * * *,11044319
Baterai-cat.11044258.11044328,2:30,3:30,3:45,8:45,shp-ext-baterai,30 2 * * *,shp-tfm-baterai,30 3 * * *,shp-ext-baterai-itm,45 3 * * *,shp-tfm-baterai-itm,45 8 * * *,11044328
Vaporizer-cat.11044258.11044329,2:30,3:30,4:15,9:15,shp-ext-vaporizer,30 2 * * *,shp-tfm-vaporizer,30 3 * * *,shp-ext-vaporizer-itm,15 4 * * *,shp-tfm-vaporizer-itm,15 9 * * *,11044329
Remot-Kontrol-cat.11044258.11044335,2:30,3:30,4:45,9:45,shp-ext-remot-kontrol,30 2 * * *,shp-tfm-remot-kontrol,30 3 * * *,shp-ext-remot-kontrol-itm,45 4 * * *,shp-tfm-remot-kontrol-itm,45 9 * * *,11044335
Walkie-Talkie-cat.11044258.11044337,2:30,3:30,5:15,10:15,shp-ext-walkie-talkie,30 2 * * *,shp-tfm-walkie-talkie,30 3 * * *,shp-ext-walkie-talkie-itm,15 5 * * *,shp-tfm-walkie-talkie-itm,15 10 * * *,11044337
Media-Player-cat.11044258.11044338,2:45,3:45,5:45,10:45,shp-ext-media-player,45 2 * * *,shp-tfm-media-player,45 3 * * *,shp-ext-media-player-itm,45 5 * * *,shp-tfm-media-player-itm,45 10 * * *,11044338
Perangkat-Audio-Speaker-cat.11044258.11044344,2:45,3:45,6:15,11:15,shp-ext-perangkat-audio-speaker,45 2 * * *,shp-tfm-perangkat-audio-speaker,45 3 * * *,shp-ext-perangkat-audio-speaker-itm,15 6 * * *,shp-tfm-perangkat-audio-speaker-itm,15 11 * * *,11044344
Pakaian-Bayi-cat.11043031.11043032,2:45,3:45,6:45,11:45,shp-ext-pakaian-bayi,45 2 * * *,shp-tfm-pakaian-bayi,45 3 * * *,shp-ext-pakaian-bayi-itm,45 6 * * *,shp-tfm-pakaian-bayi-itm,45 11 * * *,11043032
Sepatu-Bayi-cat.11043031.11043043,2:45,3:45,7:15,12:15,shp-ext-sepatu-bayi,45 2 * * *,shp-tfm-sepatu-bayi,45 3 * * *,shp-ext-sepatu-bayi-itm,15 7 * * *,shp-tfm-sepatu-bayi-itm,15 12 * * *,11043043
Pakaian-Anak-Laki-Laki-cat.11043031.11043077,2:45,3:45,7:45,12:45,shp-ext-pakaian-anak-laki-laki,45 2 * * *,shp-tfm-pakaian-anak-laki-laki,45 3 * * *,shp-ext-pakaian-anak-laki-laki-itm,45 7 * * *,shp-tfm-pakaian-anak-laki-laki-itm,45 12 * * *,11043077
Pakaian-Anak-Perempuan-cat.11043031.11043092,3:00,4:00,8:15,13:15,shp-ext-pakaian-anak-perempuan,0 3 * * *,shp-tfm-pakaian-anak-perempuan,0 4 * * *,shp-ext-pakaian-anak-perempuan-itm,15 8 * * *,shp-tfm-pakaian-anak-perempuan-itm,15 13 * * *,11043092
Sepatu-Anak-Laki-Laki-cat.11043031.11043110,3:00,4:00,8:45,13:45,shp-ext-sepatu-anak-laki-laki,0 3 * * *,shp-tfm-sepatu-anak-laki-laki,0 4 * * *,shp-ext-sepatu-anak-laki-laki-itm,45 8 * * *,shp-tfm-sepatu-anak-laki-laki-itm,45 13 * * *,11043110
Sepatu-Anak-Perempuan-cat.11043031.11043118,3:00,4:00,9:15,14:15,shp-ext-sepatu-anak-perempuan,0 3 * * *,shp-tfm-sepatu-anak-perempuan,0 4 * * *,shp-ext-sepatu-anak-perempuan-itm,15 9 * * *,shp-tfm-sepatu-anak-perempuan-itm,15 14 * * *,11043118
Tas-Anak-Laki-Laki-cat.11043031.11043044,3:00,4:00,9:45,14:45,shp-ext-tas-anak-laki-laki,0 3 * * *,shp-tfm-tas-anak-laki-laki,0 4 * * *,shp-ext-tas-anak-laki-laki-itm,45 9 * * *,shp-tfm-tas-anak-laki-laki-itm,45 14 * * *,11043044
Tas-Anak-Perempuan-cat.11043031.11043050,3:00,4:00,10:15,15:15,shp-ext-tas-anak-perempuan,0 3 * * *,shp-tfm-tas-anak-perempuan,0 4 * * *,shp-ext-tas-anak-perempuan-itm,15 10 * * *,shp-tfm-tas-anak-perempuan-itm,15 15 * * *,11043050
Aksesoris-Bayi-Anak-cat.11043031.11043056,3:15,4:15,10:45,15:45,shp-ext-aksesoris-bayi-anak,15 3 * * *,shp-tfm-aksesoris-bayi-anak,15 4 * * *,shp-ext-aksesoris-bayi-anak-itm,45 10 * * *,shp-tfm-aksesoris-bayi-anak-itm,45 15 * * *,11043056
Perlengkapan-Hujan-cat.11043031.11043067,3:15,4:15,11:15,16:15,shp-ext-perlengkapan-hujan,15 3 * * *,shp-tfm-perlengkapan-hujan,15 4 * * *,shp-ext-perlengkapan-hujan-itm,15 11 * * *,shp-tfm-perlengkapan-hujan-itm,15 16 * * *,11043067
Perhiasan-cat.11043031.11043071,3:15,4:15,11:45,16:45,shp-ext-perhiasan,15 3 * * *,shp-tfm-perhiasan,15 4 * * *,shp-ext-perhiasan-itm,45 11 * * *,shp-tfm-perhiasan-itm,45 16 * * *,11043071
Hijab-cat.11042684.11042685,3:15,4:15,12:15,17:15,shp-ext-hijab,15 3 * * *,shp-tfm-hijab,15 4 * * *,shp-ext-hijab-itm,15 12 * * *,shp-tfm-hijab-itm,15 17 * * *,11042685
Aksesoris-Muslim-cat.11042684.11042693,3:15,4:15,12:45,17:45,shp-ext-aksesoris-muslim,15 3 * * *,shp-tfm-aksesoris-muslim,15 4 * * *,shp-ext-aksesoris-muslim-itm,45 12 * * *,shp-tfm-aksesoris-muslim-itm,45 17 * * *,11042693
Atasan-Muslim-Wanita-cat.11042684.11042697,3:30,4:30,13:15,18:15,shp-ext-atasan-muslim-wanita,30 3 * * *,shp-tfm-atasan-muslim-wanita,30 4 * * *,shp-ext-atasan-muslim-wanita-itm,15 13 * * *,shp-tfm-atasan-muslim-wanita-itm,15 18 * * *,11042697
Dress-Muslim-cat.11042684.11042702,3:30,4:30,13:45,18:45,shp-ext-dress-muslim,30 3 * * *,shp-tfm-dress-muslim,30 4 * * *,shp-ext-dress-muslim-itm,45 13 * * *,shp-tfm-dress-muslim-itm,45 18 * * *,11042702
Bawahan-Muslim-Wanita-cat.11042684.11042712,3:30,4:30,14:15,19:15,shp-ext-bawahan-muslim-wanita,30 3 * * *,shp-tfm-bawahan-muslim-wanita,30 4 * * *,shp-ext-bawahan-muslim-wanita-itm,15 14 * * *,shp-tfm-bawahan-muslim-wanita-itm,15 19 * * *,11042712
Mukena-Perlengkapan-Sholat-cat.11042684.11042718,3:30,4:30,14:45,19:45,shp-ext-mukena-perlengkapan-sholat,30 3 * * *,shp-tfm-mukena-perlengkapan-sholat,30 4 * * *,shp-ext-mukena-perlengkapan-sholat-itm,45 14 * * *,shp-tfm-mukena-perlengkapan-sholat-itm,45 19 * * *,11042718
Pakaian-Muslim-Pria-cat.11042684.11042725,3:30,4:30,15:15,20:15,shp-ext-pakaian-muslim-pria,30 3 * * *,shp-tfm-pakaian-muslim-pria,30 4 * * *,shp-ext-pakaian-muslim-pria-itm,15 15 * * *,shp-tfm-pakaian-muslim-pria-itm,15 20 * * *,11042725
Pakaian-Muslim-Anak-cat.11042684.11042732,3:45,4:45,15:45,20:45,shp-ext-pakaian-muslim-anak,45 3 * * *,shp-tfm-pakaian-muslim-anak,45 4 * * *,shp-ext-pakaian-muslim-anak-itm,45 15 * * *,shp-tfm-pakaian-muslim-anak-itm,45 20 * * *,11042732
Outerwear-cat.11042684.11042737,3:45,4:45,16:15,21:15,shp-ext-outerwear,45 3 * * *,shp-tfm-outerwear,45 4 * * *,shp-ext-outerwear-itm,15 16 * * *,shp-tfm-outerwear-itm,15 21 * * *,11042737
Set-cat.11042684.11042743,3:45,4:45,16:45,21:45,shp-ext-set,45 3 * * *,shp-tfm-set,45 4 * * *,shp-ext-set-itm,45 16 * * *,shp-tfm-set-itm,45 21 * * *,11042743
Kamera-cat.11044588.11044589,3:45,4:45,17:15,22:15,shp-ext-kamera,45 3 * * *,shp-tfm-kamera,45 4 * * *,shp-ext-kamera-itm,15 17 * * *,shp-tfm-kamera-itm,15 22 * * *,11044589
Lighting-Perlengkapan-Studio-Foto-cat.11044588.11044610,3:45,4:45,17:45,22:45,shp-ext-lighting-perlengkapan-studio-foto,45 3 * * *,shp-tfm-lighting-perlengkapan-studio-foto,45 4 * * *,shp-ext-lighting-perlengkapan-studio-foto-itm,45 17 * * *,shp-tfm-lighting-perlengkapan-studio-foto-itm,45 22 * * *,11044610
Roll-Film-Kertas-Foto-cat.11044588.11044611,4:00,5:00,18:15,23:15,shp-ext-roll-film-kertas-foto,0 4 * * *,shp-tfm-roll-film-kertas-foto,0 5 * * *,shp-ext-roll-film-kertas-foto-itm,15 18 * * *,shp-tfm-roll-film-kertas-foto-itm,15 23 * * *,11044611
Printer-Foto-cat.11044588.11044612,4:00,5:00,18:45,23:45,shp-ext-printer-foto,0 4 * * *,shp-tfm-printer-foto,0 5 * * *,shp-ext-printer-foto-itm,45 18 * * *,shp-tfm-printer-foto-itm,45 23 * * *,11044612
